Category: All categories

Week,diet: (India)
2014-07-13,74
2014-07-20,71
2014-07-27,67
2014-08-03,70
2014-08-10,61
2014-08-17,73
2014-08-24,71
2014-08-31,69
2014-09-07,70
2014-09-14,73
2014-09-21,75
2014-09-28,65
2014-10-05,68
2014-10-12,69
2014-10-19,58
2014-10-26,73
2014-11-02,79
2014-11-09,77
2014-11-16,72
2014-11-23,70
2014-11-30,73
2014-12-07,70
2014-12-14,65
2014-12-21,60
2014-12-28,60
2015-01-04,81
2015-01-11,80
2015-01-18,100
2015-01-25,79
2015-02-01,89
2015-02-08,74
2015-02-15,77
2015-02-22,79
2015-03-01,74
2015-03-08,80
2015-03-15,94
2015-03-22,83
2015-03-29,79
2015-04-05,87
2015-04-12,78
2015-04-19,75
2015-04-26,74
2015-05-03,78
2015-05-10,75
2015-05-17,73
2015-05-24,74
2015-05-31,78
2015-06-07,76
2015-06-14,79
2015-06-21,76
2015-06-28,74
2015-07-05,71
2015-07-12,70
2015-07-19,70
2015-07-26,67
2015-08-02,69
2015-08-09,63
2015-08-16,66
2015-08-23,67
2015-08-30,69
2015-09-06,82
2015-09-13,73
2015-09-20,87
2015-09-27,75
2015-10-04,77
2015-10-11,70
2015-10-18,67
2015-10-25,68
2015-11-01,67
2015-11-08,55
2015-11-15,71
2015-11-22,69
2015-11-29,77
2015-12-06,71
2015-12-13,69
2015-12-20,61
2015-12-27,61
2016-01-03,68
2016-01-10,62
2016-01-17,65
2016-01-24,64
2016-01-31,70
2016-02-07,70
2016-02-14,68
2016-02-21,72
2016-02-28,74
2016-03-06,72
2016-03-13,71
2016-03-20,71
2016-03-27,77
2016-04-03,79
2016-04-10,79
2016-04-17,78
2016-04-24,79
2016-05-01,81
2016-05-08,73
2016-05-15,73
2016-05-22,73
2016-05-29,75
2016-06-05,79
2016-06-12,80
2016-06-19,80
2016-06-26,77
2016-07-03,75
2016-07-10,75
2016-07-17,74
2016-07-24,74
2016-07-31,73
2016-08-07,72
2016-08-14,71
2016-08-21,84
2016-08-28,83
2016-09-04,75
2016-09-11,76
2016-09-18,76
2016-09-25,66
2016-10-02,56
2016-10-09,58
2016-10-16,58
2016-10-23,52
2016-10-30,59
2016-11-06,56
2016-11-13,56
2016-11-20,60
2016-11-27,67
2016-12-04,59
2016-12-11,56
2016-12-18,54
2016-12-25,56
2017-01-01,65
2017-01-08,61
2017-01-15,62
2017-01-22,60
2017-01-29,63
2017-02-05,63
2017-02-12,62
2017-02-19,65
2017-02-26,69
2017-03-05,62
2017-03-12,64
2017-03-19,68
2017-03-26,65
2017-04-02,62
2017-04-09,62
2017-04-16,63
2017-04-23,64
2017-04-30,63
2017-05-07,59
2017-05-14,62
2017-05-21,63
2017-05-28,62
2017-06-04,65
2017-06-11,64
2017-06-18,65
2017-06-25,61
2017-07-02,63
2017-07-09,62
2017-07-16,59
2017-07-23,61
2017-07-30,56
2017-08-06,51
2017-08-13,55
2017-08-20,56
2017-08-27,61
2017-09-03,63
2017-09-10,64
2017-09-17,59
2017-09-24,53
2017-10-01,58
2017-10-08,56
2017-10-15,48
2017-10-22,61
2017-10-29,61
2017-11-05,62
2017-11-12,61
2017-11-19,59
2017-11-26,55
2017-12-03,55
2017-12-10,54
2017-12-17,50
2017-12-24,49
2017-12-31,54
2018-01-07,54
2018-01-14,54
2018-01-21,53
2018-01-28,60
2018-02-04,57
2018-02-11,57
2018-02-18,59
2018-02-25,56
2018-03-04,57
2018-03-11,62
2018-03-18,59
2018-03-25,59
2018-04-01,60
2018-04-08,55
2018-04-15,55
2018-04-22,57
2018-04-29,65
2018-05-06,68
2018-05-13,57
2018-05-20,62
2018-05-27,60
2018-06-03,61
2018-06-10,60
2018-06-17,62
2018-06-24,61
2018-07-01,58
2018-07-08,56
2018-07-15,55
2018-07-22,55
2018-07-29,54
2018-08-05,52
2018-08-12,45
2018-08-19,45
2018-08-26,48
2018-09-02,48
2018-09-09,45
2018-09-16,48
2018-09-23,46
2018-09-30,46
2018-10-07,45
2018-10-14,40
2018-10-21,42
2018-10-28,39
2018-11-04,36
2018-11-11,46
2018-11-18,57
2018-11-25,54
2018-12-02,47
2018-12-09,44
2018-12-16,43
2018-12-23,41
2018-12-30,45
2019-01-06,47
2019-01-13,46
2019-01-20,47
2019-01-27,50
2019-02-03,46
2019-02-10,45
2019-02-17,48
2019-02-24,44
2019-03-03,47
2019-03-10,48
2019-03-17,46
2019-03-24,48
2019-03-31,49
2019-04-07,47
2019-04-14,46
2019-04-21,49
2019-04-28,50
2019-05-05,56
2019-05-12,55
2019-05-19,46
2019-05-26,53
2019-06-02,50
2019-06-09,51
2019-06-16,56
2019-06-23,56
2019-06-30,52
