Category: All categories

Week,diet: (United States)
2014-07-13,55
2014-07-20,56
2014-07-27,55
2014-08-03,56
2014-08-10,53
2014-08-17,52
2014-08-24,48
2014-08-31,51
2014-09-07,51
2014-09-14,50
2014-09-21,52
2014-09-28,52
2014-10-05,49
2014-10-12,47
2014-10-19,48
2014-10-26,48
2014-11-02,47
2014-11-09,46
2014-11-16,43
2014-11-23,36
2014-11-30,48
2014-12-07,44
2014-12-14,40
2014-12-21,38
2014-12-28,61
2015-01-04,76
2015-01-11,65
2015-01-18,60
2015-01-25,55
2015-02-01,54
2015-02-08,51
2015-02-15,53
2015-02-22,54
2015-03-01,59
2015-03-08,58
2015-03-15,58
2015-03-22,58
2015-03-29,54
2015-04-05,59
2015-04-12,59
2015-04-19,60
2015-04-26,55
2015-05-03,55
2015-05-10,56
2015-05-17,54
2015-05-24,55
2015-05-31,57
2015-06-07,57
2015-06-14,54
2015-06-21,53
2015-06-28,53
2015-07-05,55
2015-07-12,53
2015-07-19,55
2015-07-26,54
2015-08-02,54
2015-08-09,54
2015-08-16,51
2015-08-23,48
2015-08-30,48
2015-09-06,49
2015-09-13,50
2015-09-20,47
2015-09-27,47
2015-10-04,46
2015-10-11,49
2015-10-18,47
2015-10-25,46
2015-11-01,47
2015-11-08,45
2015-11-15,42
2015-11-22,34
2015-11-29,42
2015-12-06,42
2015-12-13,37
2015-12-20,37
2015-12-27,56
2016-01-03,75
2016-01-10,61
2016-01-17,60
2016-01-24,61
2016-01-31,58
2016-02-07,54
2016-02-14,55
2016-02-21,58
2016-02-28,57
2016-03-06,58
2016-03-13,55
2016-03-20,54
2016-03-27,58
2016-04-03,60
2016-04-10,58
2016-04-17,57
2016-04-24,58
2016-05-01,55
2016-05-08,54
2016-05-15,57
2016-05-22,53
2016-05-29,54
2016-06-05,55
2016-06-12,51
2016-06-19,51
2016-06-26,52
2016-07-03,52
2016-07-10,51
2016-07-17,50
2016-07-24,50
2016-07-31,54
2016-08-07,53
2016-08-14,52
2016-08-21,49
2016-08-28,49
2016-09-04,48
2016-09-11,48
2016-09-18,48
2016-09-25,46
2016-10-02,46
2016-10-09,44
2016-10-16,46
2016-10-23,43
2016-10-30,44
2016-11-06,38
2016-11-13,45
2016-11-20,35
2016-11-27,44
2016-12-04,43
2016-12-11,39
2016-12-18,36
2016-12-25,49
2017-01-01,73
2017-01-08,66
2017-01-15,62
2017-01-22,62
2017-01-29,67
2017-02-05,73
2017-02-12,63
2017-02-19,67
2017-02-26,63
2017-03-05,64
2017-03-12,61
2017-03-19,62
2017-03-26,62
2017-04-02,59
2017-04-09,59
2017-04-16,63
2017-04-23,63
2017-04-30,62
2017-05-07,60
2017-05-14,61
2017-05-21,58
2017-05-28,60
2017-06-04,60
2017-06-11,58
2017-06-18,61
2017-06-25,61
2017-07-02,62
2017-07-09,63
2017-07-16,62
2017-07-23,63
2017-07-30,62
2017-08-06,61
2017-08-13,55
2017-08-20,52
2017-08-27,52
2017-09-03,51
2017-09-10,49
2017-09-17,52
2017-09-24,53
2017-10-01,53
2017-10-08,54
2017-10-15,53
2017-10-22,54
2017-10-29,50
2017-11-05,52
2017-11-12,52
2017-11-19,42
2017-11-26,50
2017-12-03,48
2017-12-10,47
2017-12-17,44
2017-12-24,54
2017-12-31,83
2018-01-07,80
2018-01-14,72
2018-01-21,73
2018-01-28,73
2018-02-04,70
2018-02-11,64
2018-02-18,69
2018-02-25,70
2018-03-04,67
2018-03-11,68
2018-03-18,73
2018-03-25,79
2018-04-01,79
2018-04-08,75
2018-04-15,71
2018-04-22,73
2018-04-29,75
2018-05-06,73
2018-05-13,70
2018-05-20,70
2018-05-27,69
2018-06-03,69
2018-06-10,70
2018-06-17,69
2018-06-24,69
2018-07-01,68
2018-07-08,73
2018-07-15,71
2018-07-22,75
2018-07-29,71
2018-08-05,70
2018-08-12,70
2018-08-19,66
2018-08-26,65
2018-09-02,60
2018-09-09,59
2018-09-16,60
2018-09-23,58
2018-09-30,59
2018-10-07,55
2018-10-14,58
2018-10-21,53
2018-10-28,54
2018-11-04,54
2018-11-11,52
2018-11-18,43
2018-11-25,52
2018-12-02,51
2018-12-09,50
2018-12-16,46
2018-12-23,58
2018-12-30,100
2019-01-06,91
2019-01-13,80
2019-01-20,74
2019-01-27,75
2019-02-03,71
2019-02-10,65
2019-02-17,67
2019-02-24,66
2019-03-03,69
2019-03-10,65
2019-03-17,66
2019-03-24,67
2019-03-31,75
2019-04-07,69
2019-04-14,65
2019-04-21,67
2019-04-28,65
2019-05-05,60
2019-05-12,59
2019-05-19,58
2019-05-26,57
2019-06-02,57
2019-06-09,57
2019-06-16,58
2019-06-23,57
2019-06-30,54
